ID_CHARGEST,DISTRICT_ID,DISTRICT,WIKIDATA_DISTRICT,NEIGHBOURHOOD_ID,NEIGHBOURHOOD,WIKIDATA_NEIGHBOURHOOD,STREET,ST_NUMBER,LOCATION,CONECTOR_INFO,CAPACITY,OPERATOR,WIKIDATA_OPERATOR
39,4,Salamanca,https://wikidata.org/wiki/Q1773521,41,Recoletos,https://wikidata.org/wiki/Q3814551,JARDINES DEL DESCUBRIMIENTO - ACCESO A COMPLEJO DE APARCAMIENTOS SUBTERRÁNEOS POR CALLE DE LA ARMADA,S/N,Vía pública,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,12,Empresa Municipal de Transportes de Madrid,https://wikidata.org/wiki/Q1094755
40,4,Salamanca,https://wikidata.org/wiki/Q1773521,45,Lista,https://wikidata.org/wiki/Q4779,PLAZA DE MARQUÉS DE,S/N,Aparcamiento,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,3,Empresa Municipal de Transportes de Madrid,https://wikidata.org/wiki/Q1094755
41,5,Chamartín,https://wikidata.org/wiki/Q1766348,56,Castilla,https://wikidata.org/wiki/Q3813735,CALLE HIEDRA,36,Aparcamiento,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,3,Empresa Municipal de Transportes de Madrid,https://wikidata.org/wiki/Q1094755
42,1,Centro,https://wikidata.org/wiki/Q1763376,11,Palacio,https://wikidata.org/wiki/Q2136510,PLAZA DE LA CEBADA,S/N,Aparcamiento,50 kW 2 conectores CC (CCS/Chademo),2,DRIVE THE CITY,https://wikidata.org/wiki/Q114758003
43,1,Centro,https://wikidata.org/wiki/Q1763376,15,Universidad,https://wikidata.org/wiki/Q10387767,CALLE ALBERTO AGUILERA,9,Estación de servicio,50 kW 2 conectores CC (CCS/Chademo),2,Repsol,https://wikidata.org/wiki/Q174747
44,3,Retiro,https://wikidata.org/wiki/Q2002296,32,Adelfas,https://wikidata.org/wiki/Q3774001,PLAZA DEL CONDE DE CASAL,6,Aparcamiento,50 kW 2 conectores CC (CCS/Chademo),4,DRIVE THE CITY,https://wikidata.org/wiki/Q114758003
45,8,Fuencarral-El Pardo,https://wikidata.org/wiki/Q656196,88,El Goloso,https://wikidata.org/wiki/Q10271137,CALLE DEL MONASTERIO DE ARLANZA,20,Aparcamiento,50 kW 2 conectores CC (CCS/Chademo),4,Iberdrola,https://wikidata.org/wiki/Q1437502
46,16,Hortaleza,https://wikidata.org/wiki/Q1928529,163,Canillas,https://wikidata.org/wiki/Q9694341,AVENIDA DE MACHUPICHU,105,Estación de servicio,50 kW 2 conectores CC (CCS/Chademo),2,Gestión Inteligente de Cargas,https://wikidata.org/wiki/Q114757945
47,16,Hortaleza,https://wikidata.org/wiki/Q1928529,166,Valdefuentes,https://wikidata.org/wiki/Q10388714,AVENIDA DE NICETO ALCALA ZAMORA,20,Estación de servicio,50 kW 2 conectores CC (CCS/Chademo),2,Galp Energia,https://wikidata.org/wiki/Q1492739
48,18,Villa de Vallecas,https://wikidata.org/wiki/Q1947988,181,Casco Histórico de Vallecas,https://wikidata.org/wiki/Q16544370,AVENIDA EJE CENTRAL,7,Estación de servicio,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,3,naturgy,https://wikidata.org/wiki/Q474690
