Número,Gis_X,Gis_Y,Distrito,Barrio,Número de Plazas,Longitud,Latitud,Direccion,Nº Finca
19,"441007,98","4474817,8",01  CENTRO,01-04 JUSTICIA,24,-3.6953951,40.4218997,CALLE DE PRIM,4
20,"441021,37","4474517,89",01  CENTRO,01-04 JUSTICIA,24,-3.6952095,40.4191989,CALLE DE ALCALA,49
020 ampliacion,"441014,52","4474516,49",01  CENTRO,01-04 JUSTICIA,6,-3.6952901,40.4191858,CALLE DE ALCALA,49
22,"440064,4","4474630,53",01  CENTRO,01-06 SOL,24,-3.7064995,40.4201452,CALLE DE JACOMETREZO,1
23,"439912,56","4474639,35",01  CENTRO,01-01 PALACIO,24,-3.7082901,40.4202137,PLAZA DE SANTO DOMINGO,S/N
24,"439715,67","4474384,75",01  CENTRO,01-01 PALACIO,24,-3.7105866,40.417906,CALLE DE CARLOS III,1
025 a,"440104,48","4474318,99",01  CENTRO,01-06 SOL,24,-3.7059978,40.4173416,PLAZA DEL CELENQUE,1
025 b,"440102,16","4474309,87",01  CENTRO,01-06 SOL,24,-3.7060243,40.4172593,PLAZA DEL CELENQUE,1
26,"441082,03","4475031,58",01  CENTRO,01-04 JUSTICIA,24,-3.6945421,40.4238308,PLAZA DE LAS SALESAS,8
27,"440984,74","4473861,49",01  CENTRO,01-03 CORTES,27,-3.6955803,40.4132831,CALLE DE JESUS,frente 6
28,"440752,57","4474394,64",01  CENTRO,01-03 CORTES,24,-3.6983662,40.4180695,CALLE DE ALCALA,26
29,"440968,62","4474190,29",01  CENTRO,01-03 CORTES,24,-3.6958008,40.416244,CALLE DEL MARQUES DE CUBAS,25
30,"439635,83","4474544,08",01  CENTRO,01-01 PALACIO,27,-3.7115428,40.4193355,CALLE DE PAVIA,6
31,"440050,38","4474208,74",01  CENTRO,01-06 SOL,27,-3.706625,40.4163446,CALLE  MAYOR,18
32,"440090,59","4474042,64",01  CENTRO,01-06 SOL,18,-3.7061355,40.4148511,PLAZA DE LA PROVINCIA,1
