PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANO;MES;DIA;H01;V01;H02;V02;H03;V03;H04;V04;H05;V05;H06;V06;H07;V07;H08;V08;H09;V09;H10;V10;H11;V11;H12;V12;H13;V13;H14;V14;H15;V15;H16;V16;H17;V17;H18;V18;H19;V19;H20;V20;H21;V21;H22;V22;H23;V23;H24;V24
28;079;47;12;28079047_12_8;2022;09;30;22;V;12;V;6;V;6;V;5;V;8;V;13;V;51;V;124;V;203;V;90;V;81;V;88;V;121;V;14;V;60;V;57;V;56;V;0;N;0;N;0;N;0;N;0;N;0;N
28;079;48;7;28079048_7_8;2022;09;30;1;V;1;V;1;V;1;V;4;V;1;V;1;V;5;V;3;V;12;V;27;V;4;V;4;V;3;V;2;V;1;V;1;V;1;V;0;N;0;N;0;N;0;N;0;N;0;N
28;079;48;8;28079048_8_8;2022;09;30;19;V;6;V;5;V;5;V;4;V;3;V;13;V;39;V;44;V;48;V;54;V;20;V;16;V;12;V;7;V;7;V;6;V;6;V;0;N;0;N;0;N;0;N;0;N;0;N
28;079;48;9;28079048_9_47;2022;09;30;1;V;1;V;1;V;2;V;4;V;1;V;1;V;1;V;3;V;6;V;5;V;3;V;4;V;5;V;4;V;1;V;5;V;1;V;0;N;0;N;0;N;0;N;0;N;0;N
28;079;48;10;28079048_10_47;2022;09;30;3;V;1;V;3;V;4;V;6;V;2;V;2;V;1;V;6;V;12;V;12;V;12;V;8;V;7;V;5;V;3;V;7;V;2;V;0;N;0;N;0;N;0;N;0;N;0;N
28;079;48;12;28079048_12_8;2022;09;30;20;V;8;V;7;V;6;V;10;V;4;V;15;V;46;V;49;V;66;V;95;V;27;V;22;V;16;V;9;V;9;V;8;V;7;V;0;N;0;N;0;N;0;N;0;N;0;N
28;079;49;7;28079049_7_8;2022;09;30;1;V;1;V;3;V;1;V;1;V;1;V;1;V;1;V;1;V;17;V;26;V;6;V;1;V;1;V;1;V;1;V;1;V;1;V;0;N;0;N;0;N;0;N;0;N;0;N
28;079;49;8;28079049_8_8;2022;09;30;12;V;7;V;4;V;4;V;3;V;4;V;7;V;13;V;30;V;47;V;57;V;34;V;14;V;5;V;5;V;6;V;6;V;7;V;0;N;0;N;0;N;0;N;0;N;0;N
28;079;49;12;28079049_12_8;2022;09;30;14;V;8;V;9;V;5;V;4;V;6;V;9;V;14;V;32;V;72;V;97;V;44;V;15;V;7;V;7;V;7;V;8;V;8;V;0;N;0;N;0;N;0;N;0;N;0;N
28;079;49;14;28079049_14_6;2022;09;30;44.87;V;49.59;V;62.74;V;61.81;V;63.4;V;60.17;V;57.23;V;43.43;V;20.52;V;10.17;V;14.58;V;34.81;V;55.31;V;67.73;V;69.93;V;71.4;V;70.96;V;69.86;V;0;N;0;N;0;N;0;N;0;N;0;N
28;079;50;7;28079050_7_8;2022;09;30;2;V;1;V;1;V;1;V;1;V;1;V;11;V;32;V;32;V;17;V;37;V;8;V;16;V;16;V;19;V;8;V;12;V;5;V;0;N;0;N;0;N;0;N;0;N;0;N
28;079;50;8;28079050_8_8;2022;09;30;15;V;7;V;5;V;7;V;8;V;8;V;28;V;54;V;59;V;47;V;49;V;18;V;22;V;20;V;22;V;15;V;18;V;12;V;0;N;0;N;0;N;0;N;0;N;0;N
28;079;50;9;28079050_9_47;2022;09;30;1;V;3;V;2;V;1;V;1;V;1;V;1;V;3;V;3;V;5;V;9;V;4;V;2;V;1;V;2;V;1;V;1;V;1;V;0;N;0;N;0;N;0;N;0;N;0;N
28;079;50;10;28079050_10_47;2022;09;30;3;V;2;V;6;V;8;V;2;V;6;V;4;V;6;V;12;V;16;V;22;V;19;V;11;V;5;V;5;V;4;V;6;V;7;V;0;N;0;N;0;N;0;N;0;N;0;N
28;079;50;12;28079050_12_8;2022;09;30;19;V;8;V;6;V;9;V;10;V;10;V;44;V;103;V;108;V;72;V;106;V;31;V;47;V;44;V;50;V;28;V;35;V;20;V;0;N;0;N;0;N;0;N;0;N;0;N
28;079;54;7;28079054_7_8;2022;09;30;1;V;1;V;1;V;1;V;1;V;1;V;2;V;4;V;40;V;39;V;10;V;6;V;3;V;4;V;4;V;4;V;3;V;5;V;0;N;0;N;0;N;0;N;0;N;0;N
28;079;54;8;28079054_8_8;2022;09;30;13;V;9;V;4;V;4;V;10;V;10;V;20;V;34;V;66;V;60;V;28;V;18;V;11;V;11;V;11;V;11;V;9;V;14;V;0;N;0;N;0;N;0;N;0;N;0;N
28;079;54;12;28079054_12_8;2022;09;30;14;V;10;V;5;V;6;V;12;V;12;V;23;V;40;V;127;V;120;V;43;V;27;V;15;V;18;V;17;V;17;V;14;V;22;V;0;N;0;N;0;N;0;N;0;N;0;N
28;079;54;14;28079054_14_6;2022;09;30;63.67;V;62.68;V;73.35;V;72.97;V;65.75;V;66.78;V;56.68;V;42.13;V;15.43;V;22.11;V;50.33;V;62.25;V;70.37;V;75.93;V;77.49;V;80.49;V;82.55;V;79.81;V;0;N;0;N;0;N;0;N;0;N;0;N
