PuntoRecargaID,PUNTORECARGAPERTENECEDIST,DISTPERTENECEBARRIO,COORDONNES,XCoord,YCoord,COD_DIS,DISTRITO,wikidata_distrito,COD_BAR,BARRIO,wikidata_barrio,UBICACION,EMPLAZAMIE,INFO_ADICI,N_EQUIPO,POTENCIA,CONECTOR CC,CONECTOR AC,OPERADOR
5151616,39027162,26445315,90453299,441528.45000000,4478870.20000000,5,Chamartín,https://wikidata.org/entity/Q1766348,4,Hispanoamérica,https://wikidata.org/entity/Q3814573,Paseo Castellana 160,Vía pública,-,1,50,2,1,REPSOL
54559974,43054499,6435715,29413204,443204.66000000,4479841.35000000,5,Chamartín,https://wikidata.org/entity/Q1766348,6,Castilla,https://wikidata.org/entity/Q3813735,Calle Cardenal Marcelo Spínola 6,Vía pública,-,1,50,2,1,GIC
56398206,29962078,54483916,75461750,439847.45000000,4476302.27000000,7,Chamberí,https://wikidata.org/entity/Q1763370,2,Arapiles,https://wikidata.org/entity/Q10856744,Calle Fernández de los Ríos 42,Vía pública,-,1,50,2,1,REPSOL
83738287,17334603,35010298,31277972,440038.83000000,4475778.21000000,7,Chamberí,https://wikidata.org/entity/Q1763370,2,Arapiles,https://wikidata.org/entity/Q10856744,Plaza del Conde de Valle de Suchil,Vía pública,-,1,50,2,1,REPSOL
99484,84509716,39033175,45665372,440694.00000000,4475775.00000000,7,Chamberí,https://wikidata.org/entity/Q1763370,3,Trafalgar,https://wikidata.org/entity/Q10384027,Calle Manuel Silvela 16,Vía pública,-,1,50,2,1,GIC
48265145,74393298,45183626,42552481,441794.82990000,4478935.75020000,5,Chamartín,https://wikidata.org/entity/Q1766348,5,Nueva España,https://wikidata.org/entity/Q10338128,Avenida Alberto Alcocer. 11,Aparcamiento,Aparcamiento privado rotación,1,50,2,1,ENDESA
45833433,96401463,30081058,10932372,440607.26000000,4476613.59000000,7,Chamberí,https://wikidata.org/entity/Q1763370,3,Trafalgar,https://wikidata.org/entity/Q10384027,Calle Santa Engracia 115,Vía pública,-,1,50,2,1,GIC
23537140,5013926,53105227,51327632,441547.43000000,4475930.09000000,7,Chamberí,https://wikidata.org/entity/Q1763370,4,Almagro,https://wikidata.org/entity/Q10954432,Paseo Castellana 33,Vía pública,-,1,50,2,1,GIC
84938446,22457566,30723420,33682932,441683.60000000,4480640.99000000,8,Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,5,La Paz,https://wikidata.org/entity/Q5869740,Calle de Sinesio Delgado 2,Vía pública,-,1,50,2,1,GIC
88846598,21809210,65151894,44519112,444431.81000000,4478363.82000000,15,Ciudad Lineal,https://wikidata.org/entity/Q1763694,6,San Juan Bautista,https://wikidata.org/entity/Q165609,Calle Bueso Pineda 29,Vía pública,-,1,50,2,1,GIC
10600620,16353840,77237580,36267054,439749.07000000,4473590.81000000,1,Centro,https://wikidata.org/entity/Q1763376,1,Palacio,https://wikidata.org/entity/Q2136510,Plaza de la Cebada,Aparcamiento,Aparcamiento privado rotación. Iniciativa privada,1,50,2,0,DRIVE THE CITY
86363453,41065313,25381243,88432000,441796.67000000,4479756.43000000,5,Chamartín,https://wikidata.org/entity/Q1766348,5,Nueva España,https://wikidata.org/entity/Q10338128,Calle Mateo Inurria. 4,Estación de servicio,-,1,50,2,1,REPSOL
73101477,66311139,96375484,53889456,439921.87000000,4479217.94000000,6,Tetuán,https://wikidata.org/entity/Q1773540,6,Berruguete,https://wikidata.org/entity/Q11909208,Calle Ofelia Nieto. 64,Estación de servicio,-,1,50,2,1,REPSOL
54569242,65605702,25033333,38997921,443805.23000000,4483684.43000000,8,Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,6,Valverde,https://wikidata.org/entity/Q31132,Calle del Abetal 8,Estación de servicio,-,2,50,2,1,REPSOL
96844637,72382365,67614934,86746360,435728.68000000,4479193.77000000,9,Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,3,Ciudad Universitaria,https://wikidata.org/entity/Q3319235,CRED HIpodromoCR A-6  P.K. 8.00 D (avda Padre Huidobro sn),Estación de servicio,-,1,50,2,1,REPSOL
24457781,91980981,47181896,48640246,430479.36000000,4480122.57000000,9,Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,6,El Plantío,https://wikidata.org/entity/Q3773742,A6 - Avenida Victoria 34 (Cred el Plantio),Estación de servicio,-,1,50,2,1,REPSOL
