tipo_establecimiento,tipo_titularidad,municipio_codigo,municipio_nombre,same_as_wikidata_municipio,direccion_establecimiento,direccion_via_codigo,direccion_via_nombre,direccion_portal_numero,direccion_piso,direccion_puerta,direccion_codigo_postal,direccion_ubicacion,direccion_coordenada_x,direccion_coordenada_y,horario_acceso,codigo_dea
Instalaciones de transporte,Publica,079,Madrid,https://wikidata.org/entity/Q2807,CALLE de Mateo Inurria 36  ,CALLE,Mateo Inurria,36,,,28036,"DENTRO DE LA ESTACION DE METRO, DUQUE DE PASTRANA. - PASILLO NIVE L -2. DISTRIBUIDOR ANDENES",442408,4479871,,2021-311
Centro educativo,Privada,181,Villaviciosa de Odon,https://wikidata.org/entity/Q1631897,CALLE Tajo s/n  ,CALLE,Tajo,s/n,,,28670,RECEPCION - EDIFICIO C ,421946,4469552,HORARIO DE LA UNIVERSIDAD,2018-2107
Centro educativo,Privada,181,Villaviciosa de Odon,https://wikidata.org/entity/Q1631897,CALLE Tajo s/n  ,CALLE,Tajo,s/n,,,28670,RECEPCION - POLIDEPORTIVO ,421846,4469659,HORARIO DE LA UNIVERSIDAD,2018-2111
Centro de trabajo con mas de 250 trabajadores,Privada,127,Las Rozas de Madrid,https://wikidata.org/entity/Q592747,CALLE Gabriel Garcia Marquez 1  ,CALLE,Gabriel Garcia Marquez,1,,,28232,BANKIA S.A. ,424772,4486386,HORARIO LABORAL,2021-352
Otros,Privada,903,Tres Cantos,https://wikidata.org/entity/Q910410,CALLE de Isaac Newton 6  ,CALLE,Isaac Newton,6,,,28760,Empresa bioMerieux ,440073,4493776,24/365,2021-424
Establecimiento dependiente de una Administracion Publica,Publica,008,Aldea del Fresno,https://wikidata.org/entity/Q607467,CALLE Navayuncosa 24  ,CALLE,Navayuncosa,24,,,28620,"PABELLON DEPORTIVO MUNICIPAL EN LA ENTRADA, DENTRO DE LA OFICINA.",398115,4464394,APERTURA DE LA INSTALACION,2017-233
Otros,Publica,008,Aldea del Fresno,https://wikidata.org/entity/Q607467,PLAZA Constitucion 1  ,PLAZA,Constitucion,1,,,28620,DISPOSITIVO MOVIL -VEHICULO PROTECCION CIVIL ,397504,4464440,24H,2021-448
Aeropuertos,Publica,079,Madrid,https://wikidata.org/entity/Q2807,AVDA de la Hispanidad 0  ,AVDA,Hispanidad,0,,,28042,PATIO CARRILLOS T4 NORTE IZQUIERDA AEROPUERTO ADOLFO SUAREZ MADRID BARAJAS,449721,4482599,,2021-464
Aeropuertos,Publica,079,Madrid,https://wikidata.org/entity/Q2807,AVDA de la Hispanidad 0  ,AVDA,Hispanidad,0,,,28042,PATIO CARRILLOS T4 SUR DERECHA aeropuerto adolfo suarez,449721,4482599,,2021-465
Centro de trabajo con mas de 250 trabajadores,Privada,079,Madrid,https://wikidata.org/entity/Q2807,CALLE Via de los Poblados 1  ,CALLE,Via de los Poblados,1,,,28033,RECEPCION EDIFICIO E ,446101,4480843,L-V 10-16,2021-490
Grandes establecimientos comerciales con una superficie superior a 2500 m2,Privada,006,Alcobendas,https://wikidata.org/entity/Q487679,AVDA Olimpica 9  ,AVDA,Olimpica,9,,,28108,C.C La vega -Planta Baja-Entrada Alcampo COM- PROPIETARIOS CENTRO COMERCIAL LA VEGA,446039,4487322,L a D 10:00 a 22:00 horas,2021-524
Establecimiento hotelero con mas de 100 plazas,Privada,079,Madrid,https://wikidata.org/entity/Q2807,PLAZA de Espana S/N  ,PLAZA,Espana,S/N,,,28008,HOTEL RIU - ENTRADA ,439683,4475062,24 H,2019-2580
Otros,Publica,079,Madrid,https://wikidata.org/entity/Q2807,AVDA de Pio XII 110  ,AVDA,Pio XII,110,,,28036,UBICACION EN TRENES DE RENFE VIAJEROS. SEDE SOCIAL. ,442489,4480602,,2022-407
Otros,Publica,079,Madrid,https://wikidata.org/entity/Q2807,AVDA de Pio XII 110  ,AVDA,Pio XII,110,,,28036,UBICACION EN TRENES DE RENFE VIAJEROS. SEDE SOCIAL. ,442489,4480602,24 horas,2022-408
Otros,Publica,079,Madrid,https://wikidata.org/entity/Q2807,AVDA de Pio XII 110  ,AVDA,Pio XII,110,,,28036,UBICACION EN TRENES DE RENFE VIAJEROS. SEDE SOCIAL. ,442489,4480602,24 HORAS,2022-409
Otros,Publica,079,Madrid,https://wikidata.org/entity/Q2807,AVDA de Pio XII 110  ,AVDA,Pio XII,110,,,28036,UBICACION EN TRENES DE RENFE VIAJEROS. SEDE SOCIAL. ,442489,4480602,24 HORAS,2022-467
Otros,Publica,079,Madrid,https://wikidata.org/entity/Q2807,AVDA de Pio XII 110  ,AVDA,Pio XII,110,,,28036,UBICACION EN TRENES DE RENFE VIAJEROS. SEDE SOCIAL. ,442489,4480602,24 HORAS,2022-474
Otros,Publica,079,Madrid,https://wikidata.org/entity/Q2807,AVDA de Pio XII 110  ,AVDA,Pio XII,110,,,28036,UBICACION EN TRENES DE RENFE VIAJEROS. SEDE SOCIAL. ,442489,4480602,24 horas,2022-637
Otros,Publica,079,Madrid,https://wikidata.org/entity/Q2807,AVDA de Pio XII 110  ,AVDA,Pio XII,110,,,28036,UBICACION EN TRENES DE RENFE VIAJEROS. SEDE SOCIAL. ,442489,4480602,24 HORAS,2022-735
Otros,Publica,079,Madrid,https://wikidata.org/entity/Q2807,AVDA de Pio XII 110  ,AVDA,Pio XII,110,,,28036,UBICACION EN TRENES DE RENFE VIAJEROS. SEDE SOCIAL. ,442489,4480602,24 horas,2022-828
Establecimiento dependiente de una Administracion Publica,Publica,013,Aranjuez,https://wikidata.org/entity/Q486792,PLAZA de Parejas 0 B ,PLAZA,Parejas,0,B,,28300,BAJA/ ACCESO PRINCIPAL PATIO DE LOS CABALLEROS,448165,4431745,,2021-797
Otros,Privada,079,Madrid,https://wikidata.org/entity/Q2807,CALLE del Acanto 22 3 ,CALLE,Acanto,22,3,,28045,GESCOBRO COLLECTION SERVICES ,442450,4476763,l-v  9-19,2022-127
Otros,Privada,079,Madrid,https://wikidata.org/entity/Q2807,CUSTA de San Vicente 26  ,CUSTA,San Vicente,26,,,28008,Recepcion Hotel ,439252,4474686,24 h,2022-1004
Establecimiento dependiente de una Administracion Publica,Publica,080,Majadahonda,https://wikidata.org/entity/Q427505,AVDA Claveles 12 1 ,AVDA,Claveles,12,1,,28221,PRIMERA PLANTA /JUZGADOS ,426812,4480370,,2022-30
