codigo_dea,tipo_titularidad,municipio_nombre,direccion_establecimiento,direccion_codigo_postal,direccion_ubicacion,direccion_coordenada_x,direccion_coordenada_y,horario_acceso
2019-323,Pública,Getafe,CALLE Madrid 126  ,28903,"EDIFICIOS 4-5, JUNTO A CONSERJERÍA ",438352,4462990,8-21 H
2021-119,Pública,Madrid,CALLE de Almería 0  ,28028,"DENTRO DEL DEPÓSITO DE VENTAS, EN LA NAVE DE MANTENIMIENTO DE TRE NES CICLO CORTO, METRO DE MADRID",443847,4475723,
2021-271,Pública,Madrid,AVDA Real de Pinto 0  ,28021,"DENTRO DEL DEPÓSITO DE METRO DE VILLAVERDE, EN LA NAVE DE MANTENI MIENTO DE TRENES. METRO DE MADRID",439071,4464524,
2021-437,Pública,Torrelodones,PLAZA de la Constitución 1  ,28250,Entrada Principal ,421344,4492062,L-V 8-14:30
2021-438,Pública,Torrelodones,CALLE Real 32  ,28250,"Biblioteca Pública Municipal José de Vicente Muñoz-Entrada, sala principal",421588,4491976,L-D 8-14:15
2021-439,Pública,Torrelodones,PASEO Joaquín Ruiz Giménez 12  ,28250,C. M. FUTBOL JULIAN ARIZA-Oficinas ,421960,4491683,HORARIO TARDE
2021-440,Pública,Torrelodones,CALLE Arroyo de los Viales 1  ,28250,Campo de rugby de Torrelodones-Entrada principal ,421867,4490808,
2021-441,Pública,Torrelodones,AVDA de Rosario Manzaneque 1  ,28250,Casa de la Cultura de Torrelodones-Entrada principal zona baños ,419038,4492523,
2021-442,Pública,Torrelodones,CALLE Cudillero 6  ,28250,Policía local -Vehiculo policial Matricula 8519 JVP ,421570,4491336,24H
2021-663,Pública,Madrid,CALLE de Rosario Pino 5 1 ,28020,JUZGADOS PRIMERA INSTANCIA PRIMERA PLANTA ,441387,4479255,
2021-664,Pública,Madrid,CALLE de Rosario Pino 5 2 ,28020,JUZGADOS PRIMERA INSTANCIA SEGUNDA PLANTA ,441387,4479255,
2021-681,Pública,Madrid,CALLE de la Princesa 3 B ,28008,SEGURIDAD PLANTA BAJA ,439558,4475173,
2021-687,Pública,Torrejón de Ardoz,CALLE Granados 22 B ,28850,PLANTA BAJA / REGISTRO ,459634,4479006,
2021-232,Pública,Madrid,AVDA del Ensanche de Vallecas 120  ,28051,"DENTRO DE LA ESTACION DE METRO VALDECARROS, EN EL VESTIBULO METRO DE MADRID",449628,4467881,
2021-233,Pública,Madrid,AVDA de Abrantes 122  ,28025,"DENTRO DE LA ESTACION DE METRO PAN BENDITO, VESTIBULO, JUNTO A AC 2.  METRO DE MADRID",437635,4469732,
2021-245,Pública,Madrid,CALLE de Aguarón 13  ,28023,"Ubicación en vestíbulo edificio norte MINISTERIO DE AGRICULTUR, PESCA Y ALIMENTACIÓN",432988,4479695,8:00-18:00 L-V
2021-246,Pública,Algete,CTRA de M-106 (Algete) 13  ,,"Ubicación en centro de control de la planta baja del edificio del Laboratorio Genética Molecular. MINISTERIO DE AGRICULTURA, PESCA",455672,4493578,8:00-18:00 L-V
2021-247,Pública,Madrid,PASEO de la Infanta Isabel 1  ,28014,"Ubicación en el vestíbulo anexo al hall de entrada MINISTERIO DE AGRICULTURA, PESCA Y ALIMENTACIÓN",441417,4473349,
2021-248,Pública,Madrid,CALLE de Velázquez 144  ,,"Ubicación en cabina de seguridad MINISTERIO DE AGRICULTUA, PESCA Y ALIMENTACIÓN",442116,4476950,8:00-18:00 L-V
2021-249,Pública,Madrid,CALLE de Velázquez 147  ,,"Ubicación en cabina de seguridad MINISTERIO DE AGRICULTURA, PESCA Y ALIMENTACIÓN",442092,4477214,8:00-18:00 L-V
2018-359,Pública,Pozuelo de Alarcón,PLAZA Mayor 1  ,28223,CASA CONSISTORIAL AYTO. POZUELO DE ALARCÓN,431301,4476226,
2018-370,Pública,Pozuelo de Alarcón,CALLE San Juan de la Cruz 4  ,28223,EDIFICIO JEFATURA POLICÍA MUNICIPAL AYTO. POZUELO DE ALARCÓN,431000,4475875,
2018-363,Pública,Pozuelo de Alarcón,CMNO Huertas 42  ,28223,TEATRO MIRA AYTO. POZUELO DE ALARCÓN,431334,4477520,
2018-362,Pública,Pozuelo de Alarcón,CALLE Irlanda 3  ,28224,ESCUELA DE MÚSICA AYTO. POZUELO DE ALARCÓN,433296,4477279,
2021-776,Pública,Colmenar del Arroyo,PLAZA de España 1  ,28213,AYUNTAMIENTO ,398315,4474887,L-V 8-15
2021-791,Pública,Mejorada del Campo,CALLE de Federico García Lorca 7  ,28840,AYUNTAMIENTO DE MEJORADA DEL CAMPO ,458656,4472072,
2021-444,Pública,Torrelodones,PLAZA de José María Unceta 4  ,28250,Polideportivo Municipal Torrelodones-Recepcion ,420462,4492444,24H
2021-445,Pública,Torrelodones,AVDA de la Dehesa 65  ,28250,Servicios Sociales Torrelodones -Entrada Principal ,421274,4492700,
2021-592,Pública,Madrid,CALLE de Einstein 1 Y 3  ,28049,A LA DERECHA DE INFORMACION PASILLO UNIVERSIDAD AUTÓNOMA DE MADRID. RECTORADO,441112,4488421,
2021-593,Pública,Madrid,CALLE del Arzobispo Morcillo 4  ,28029,CONSERJERÍA UNIVERSIDAD AUTÓNOMA DE MADRID MEDICINA PASILLO,441521,4481488,
2021-620,Pública,Villanueva del Pardillo,CALLE los Cerezos 0  ,28229,"AVD. LAS VEGAS CALLE CEREZO , EXTERIOR JUNTO ROTONDA ",420315,4482463,
2021-637,Pública,Villanueva del Pardillo,ACCES ZONA REAL / LAS CUESTAS 32  ,28229,,418003,4483617,
2021-703,Pública,Villanueva del Pardillo,CALLE Concepción 3  ,28229,DISPOSITIVO MOVIL -  VEHICULO POLICIA V03 ,420315,4482463,
2021-704,Pública,Villanueva del Pardillo,CALLE Concepción 3  ,28229,DISPOSITIVO MOVIL -  VEHICULO POLICIA V 04 ,420315,4482463,
2019-322,Pública,Getafe,CALLE Madrid 126  ,28903,"EDIFICIOS 6 Y 7 , JUNTO A CONSERJERÍA ",438352,4462990,8-21 H
2021-539,Pública,Móstoles,CALLE de San Antonio 6 B ,28931,JUZGADOS DE LO SOCIAL ,426684,4464106,
2018-1968,Pública,Cobeña,CALLE de la Fuente 17  ,28863,CEIPSO VILLA DE COBEÑA - PRIMARIA ,457158,4491093,LUNES A VIERNES 08:00 A 15:00
2021-719,Pública,Torrelaguna,CALLE Malacuera 36 B ,28180,BAJA ,454544,4519178,
2018-457,Pública,Getafe,CALLE Madrid 126 BAJA ,28903,EDIF 17 ORTEGA Y GASSET. PARED CONSEJERÍA UNIVERSIDAD CARLOS III DE MADRID,438249,4462991,8-21
2021-397,Pública,Torrejón de Ardoz,CALLE Londres 11  ,28850,CENTRO POLIVALENTE ABOGADOS DE ATOCHA ,460324,4479071,24/7
2021-138,Pública,Torrejón de Ardoz,AVIA Nacional II 0  ,28850,Direccion H-01 INSTITUTO NACIONAL DE TECNOLOGÑIA AEROESPACIAL,459555,4481942,24H
2021-222,Pública,Madrid,RONDA de la Comunicación 0  ,28050,"DENTRO DE LA ESTACIÓN DE METRO RONDA DE LA COMUNICACIÓN. VESTÍBUL O, JUNTO A AC2",443843,4485203,
2021-223,Pública,Madrid,"CALLE DENTRO DE LA ESTACIÓN DE METRO SAN CIPRIANO, VESTÍBULO, ENTRE AC1 44  ",28032,- AC2 METRO MADRID,448746,4472761,
2018-1059,Pública,Pozuelo de Alarcón,AVDA de Juan Antonio Samaranch Torello 8  ,28223,CONTROL VALLE DE LAS CAÑAS CENTRO DEPORTIVO. AYTO. POZUELO DE ALARCÓN,430329,4474485,
2019-2197,Pública,Madrid,CALLE de Campezo 1  ,28022,EDIFICIO 7 PARQUE EMPRESARIAL LAS MERCEDES ,450809,4477630,
2021-794,Pública,Mejorada del Campo,PLAZA de la Ilustración 9  ,28840,AYUNTAMIENTO DE MEJORADA DEL CAMPO ,459006,4471899,
2021-329,Pública,Estremera,AVDA del Papa Juan Pablo II 1  ,28595,PISCINA MUNICIPAL AYTO. ESTREMERA,490763,4448706,"DE 12:00 A 20:00 HORAS, DE LUNES A DOMINGO"
2021-509,Pública,Villanueva de la Cañada,CALLE Olivar 10  ,28691,Centro Cultural La Despernada-Hall entrada ,415177,4478145,L a V 9:00?20:30
2021-623,Pública,Majadahonda,CALLE Arroyo de la Sacedilla 24  ,28221,POLIDEPORTIVO DE LA SACEDILLA AYTO. MAJADAHONDA,428422,4481193,
2018-360,Pública,Pozuelo de Alarcón,PLAZA Mayor 6  ,28223,BIBLIOTECA MIGUEL DE CERVANTES AYTO. POZUELO DE ALARCÓN,460961,4476226,
2021-546,Pública,Móstoles,CALLE Luis Jiménez de Asúa 0 3 ,28931,JUZGADOS DE LO PENAL PLANTA 3 ,426722,4464108,
2021-846,Pública,Navalcarnero,CALLE de la Ronda de San Juan 32 2 ,28600,JUZGADOS SEGUNDA PLANTA ,414454,4460519,
2021-859,Pública,Mejorada del Campo,PLAZA Casa Grande 1  ,28840,AYUNTAMIENTO MEJORADA DEL CAMPO ,459078,4471058,
2021-862,Pública,Mejorada del Campo,CALLE de Santa Rosa 16  ,28840,AYUNTAMIENTO MEJORADA DEL CAMPO ,458330,4471435,
2021-865,Pública,Madrid,CALLE de la Isla de Ons 28  ,28035,AYNTAMIENTO DE MADRID ,438762,4481272,
2021-877,Pública,Madrid,CALLE de Pico Mampodre 6  ,28031,Centro Municipal de Mayores Villa de Vallecas ,447266,4469823,
2021-211,Pública,Leganés,AVDA Orellana 0  ,,"DENTRO DE LA ESTACIÓN DE METRO HOSPITAL SEVERO OCHOA. VESTÍBULO, JUNTO A AC-3. METRO DE MADRID",434710,4463795,
2021-212,Pública,Getafe,AVDA Comandante José Manuel Ripollés 0  ,28907,"DENTRO DE LA ESTACIÓN DE METRO EL BERCIAL. VESTÍBULO, JUNTO A PAV METRO DE MADRID",437989,4464582,
2021-213,Pública,Getafe,AVDA Rigoberta Menchú 3  ,28903,"DENTRO DE LA ESTACIÓN DE METRO LOS ESPARTALES. VESTÍBULO, JUNTO A C·3. METRO DE MADRID",438970,4464002,
2021-214,Pública,Getafe,AVDA de las Arcas del Agua 9  ,28905,"DENTRO DE LA ESTACIÓN DE METRO CONSERVATORIO. VESTÍBULO, JUNTO AC ·3 METRO DE MADRID",436577,4460595,
2021-215,Pública,Getafe,CALLE de las Ciencias 14  ,28905,"DENTRO DE LA ESTACIÓN DE METRO ARROYO CULEBRO. VESTÍBULO, JUNTO A C·3. METRO DE MADRID",435670,4460110,
2021-860,Pública,Mejorada del Campo,CALLE de la Ciudad de Atenas 10  ,28840,AYUNTAMIENTO DE MEJORADA DEL CAMPO ,459078,4472058,
2018-269,Pública,Rivas-Vaciamadrid,CALLE Crisol 1 BAJA ,28522,EDIFICIO DE EMPRESAS. EN LA RECEPCIÓN AYTO. RIVAS VACIAMADRID,453819,4466974,L A V 9-20
2018-270,Pública,Rivas-Vaciamadrid,PLAZA de la Constitución 1 BAJA ,28523,EDIFICIO ADMINISTRATIVO. DETRAÁS DEL SERVICIO DE 010 AYTO. RIVAS VACIAMADRID,453467,4467808,L A V 8-20
2018-271,Pública,Rivas-Vaciamadrid,CALLE de las Acacias 12 BAJA ,28522,CENTRO DE DÍA DE MAYORES CONCEPCIÓN ARENAL. JUNTO A INFORMACIÓN AYTO. RIVAS VACIAMADRID,454686,4467899,10-14 X 17-18.30
2018-273,Pública,Rivas-Vaciamadrid,CALLE de San Isidro 2 BAJA ,28521,"CENTRO DE MAYORES FELIPE II. FRENTE CAFETERÍA, AL FONDO AYTO. RIVAS VACIAMADRID",455899,4464254,M U J 10-14
2021-881,Pública,Madrid,CALLE de Pico Mampodre 6  ,28031,Centro Municipal de Mayores Villa de Vallecas AYUNTAMIENTO DE MADRID,447266,4469823,
2021-893,Pública,Daganzo de Arriba,CALLE Don Quijote de la Mancha 1  ,28814,PABELLON DEPORTIVO MUNICIPAL ,461436,4489179,L-V 09:00 A 21:00 Y S-D DEPENDIENDO DE ACTIVIDADES DEPORTIVAS
2021-894,Pública,Daganzo de Arriba,CALLE San Juan 15  ,28814,PROTECCIÓN CIVIL - DISPOSITIVO MOVIL ,461268,4488272,
2021-895,Pública,Daganzo de Arriba,CMNO del Fresno de Torote 0  ,28814,PISCINA MUNICIPAL ,461489,4488896,15 junio a 30 de septiembre 10:00 a 20:00.- S y D con actividades deportivas
2021-896,Pública,Daganzo de Arriba,GTA de Alcalá 0  ,28814,EN VEHICULO DE POLICÍA ,461209,4488146,24H
2021-164,Pública,Meco,CALLE del Acueducto 3  ,28880,SECRETARIA IES GASPAR SANZ,472680,4488551,8:00-14:00
2021-889,Pública,Torrelodones,CALLE Javier García de Leaniz 9  ,28250,Escuela Municipal de Idiomas de Torrelodones-Hall principal AYUNTAMIENTO TORRELODONES,419264,4492219,Mañanas: M a J de 10:00 a 13:00h-Tardes: L a J: de16:30 a 20:30h
2021-890,Pública,Madrid,CALLE de Alcalá 37  ,28014,DETRAS DE ARCO DE SEGURIDAD ,440796,4474471,
2018-1970,Pública,Cobeña,CALLE Arenal 1  ,28863,COMISARÍA POLICIA LOCAL ,457319,4490876,DG/JV 7:00 A 23:00. VS/SB 7:00 A 15:00 Y DE 19:00 A 3:00
2021-542,Pública,Móstoles,PLAZA PRIMERA PLANTA EN FRENTE DEL JUZGADO Nº 4 2 1 ,28931,D.G. INFRAESTRUCTURAS JUDICIALES,426538,4464071,
2022-210,Pública,San Fernando de Henares,CALLE París 0  ,28830,POLIDEPORTIVO MUNICIPAL PABELLON CAMINO DE LA HUERTA ,455526,4475102,16-22
2022-216,Pública,Madrid,AVDA de Pío XII 110  ,28036,UBICACION EN TRENES DE RENFE VIAJEROS. SEDE SOCIAL. ,442489,4480602,24h
2021-216,Pública,Móstoles,PLAZA del Sol 0  ,28938,"DENTRO DE LA ESTACIÓN DE METRO MANUELA MALASAÑA, VESTÍBULO, FRENT E A AC3. METRO MADRID",426507,4462425,
2021-217,Pública,Madrid,CALLE de la Costa Brava 18  ,28034,"DENTRO DE LA ESTACIÓN DE METRO PACO DE LUCÍA, VESTÍBULO, JUNTO A AC2 METRO DE MADRID",439921,4483458,
2021-285,Pública,Madrid,CALLE del Retablo de Melisendra 0  ,28034,"DENTRO DEL DEPOSITO DE METRO DE FUENCARRAL, NAVE DE MANTENIMIENTO DE TRENES. METRO DE MADRID",441180,4483777,
2021-286,Pública,Madrid,CALLE de Vélez Rubio 0  ,28033,"DENTRO DE LA ESTACION DE METRO DE MANOTERAS, EN VESTÍBULO, JUNTO A ASCENSOR 3. METRO DE MADRID",443812,4480870,
2018-2323,Pública,Torrejón de la Calzada,CALLE Málaga 72  ,28991,HALL PLANTA BAJA ,431490,4450116,9:00 a 15:00
2021-337,Pública,Hoyo de Manzanares,CALLE de las Eras 0  ,28240,Campo de Futbol -Vestuario de Arbitro AYTO. HOYO DE MANZANARES,423387,4497492,8:00 a 22:30
2021-781,Pública,Madrid,PLAZA de Castilla 1 B ,28046,ENTRADA POR BRAVO MURILLO/SEGURIDAD D.G. INFRAESTRUCTURAS JUDICIALES,441487,4479614,
2021-759,Pública,Madrid,PLAZA de Castilla 1 3 ,28046,EN LA PLANTA 3 DERECHA ,441487,4479614,
2022-85,Pública,Madrid,CALLE de Montalbán 1  ,28014,FASE 2- PLANTA5 - ASCENSOR 2- ESCALERA R PALACIO DE CIBELES,441312,4474480,24H
2022-100,Pública,Madrid,CALLE de Julián Camarillo 11 BAJA ,28037,PLANTA B. JUZGADOS DE LO PENAL ACCESO SEGURIDAD ,446415,4475135,
2018-2234,Pública,Madrid,CALLE de Ildefonso González Valencia 1  ,28054,FRENTE A RECEPCIÓN - TANATORIO SUR ,438789,4469323,24 H
2018-2237,Pública,Madrid,CALLE de Salvador de Madariaga 11  ,28027,TOTEM A LA IZQUIERDA DE INFORMACION Tanatorio M30,444216,4476821,
2022-232,Pública,Madrid,CALLE de Antonio Machado 12  ,28035,CDM CIUDAD DE LOS POETAS ,439040,4479722,
2022-242,Pública,Madrid,CALLE de Ladera de los Almendros 2  ,28032,CENTRO DEPORTIVO MUNICIPAL FAUSTINA VALLADOLID ,447134,4472810,
2022-249,Pública,Madrid,CALLE del Consenso 1  ,28041,CENTRO DEPORTIVO MUNICIPAL EL ESPINILLO II ,441769,4468014,
2022-250,Pública,Madrid,RONDA Sur 4  ,28053,CENTRO DEPORTIVO MUNICIPAL ENTREVIAS ,443016,4469949,
2022-256,Pública,Madrid,AVDA de Monforte de Lemos 38  ,28029,CENTRO DEPORTIVO MUNICIPAL Mª JESUS ROSA (ANTIGUO LA VAGUADA) AYUNTAMIENTO DE MADRID,439896,4481185,
2022-259,Pública,Madrid,CALLE de Alicante 14  ,28045,CENTRO DEPORTIVO MUNICIPAL LA FUNDI (CDM ARGANZUELA) ,441334,4471760,
2022-261,Pública,Madrid,CALLE del Alcalde Garrido Juaristi 17  ,28030,CENTRO DEPORTIVO MUNICIPAL LA ELIPA ,444355,4473954,
2022-264,Pública,Madrid,PASEO del Fernán Núñez 3  ,28009,CENTRO DEPORTIVO MUNICIPAL LA CHOPERA ,441784,4473739,
2022-270,Pública,Madrid,CTRA a la Estación de Hortaleza 11  ,28033,CENTRO DEPORTIVO MUNICIPAL HORTALEZA (PISCINA Y BOTIQUIN) ,444689,4481137,
2020-608,Pública,Madrid,CALLE de Martín Fierro 7  ,28040,EN EL HALL DE LA FACULTAD ,437860,4476643,
2021-427,Pública,Madrid,CALLE de Fuenterrabía 2  ,28014,Entrada principal ,442090,4473051,L-V 10-14
2021-461,Pública,Madrid,AVDA de la Hispanidad 0  ,28042,PARQUE SATELITE DE BOMBEROS DEL AEROPUERTO DE MADRID BARAJAS ,449721,4482599,
2019-327,Pública,Leganés,AVDA Universidad 30  ,28911,EDIF.TORRES QUEVEDO - FRENTE A CONSERJERÍA - PLANTA BAJA ,434846,4464864,8-21H
2021-931,Pública,Alcorcón,CALLE Carballino 0 B ,28925,JUZGADO DE ALCORCÓN SEGURIDAD ,431246,4466927,
2022-25,Pública,Madrid,AVDA de la Hispanidad 0  ,28042,T4 SALA 10 P00 ZONA NORTE Aeropuerto Adolfo Suarez Madrid-Barajas,449721,4482599,
2022-112,Pública,Coslada,AVDA de Fuentemar 0  ,28823,POLIDEPORTIVO LA VIA INTERIOR PABELLON DEPORTIVO,452864,4475430,
2022-186,Pública,Madrid,AVDA de Asturias 4  ,28029,EDIFCIO METRO DE MADRID PLANTA 5ª - HALL DE ASCENSORES ,441340,4479901,24H
2022-273,Pública,Madrid,CALLE de Pilar de Zaragoza 93  ,28028,CENTRO DEPORTIVO MUNICIPAL GIMNASIO MOSCARDO ,442795,4476582,
2022-276,Pública,Madrid,CALLE de Monseñor Óscar Romero 41  ,28025,CENTRO DEPORTIVO MUNICIPAL LA MINA ,436638,4470458,
2022-280,Pública,Madrid,CALLE de Francisco Rioja 14  ,28017,CENTRO DEPORTIVO MUNICIPAL PUEBLO NUEVO ,445860,4475670,
2022-284,Pública,Madrid,CALLE de Treviana 1  ,28043,CENTRO DEPORTIVO MUNICIPAL SAN JUAN BAUTISTA ,444127,4477702,
2021-179,Pública,Madrid,CALLE de Pío Baroja 6 bAJA ,28009,EN PASILLO A LA ENTRADA DE CAFETERÍA FONDO GARANTIA AGRARIA. MITE,442786,4473915,
2021-199,Pública,Madrid,CALLE de Jovellanos 4  ,28014,TEATRO DE LA ZARZUELA INSTITUTO NACIONAL DE LAS ARTES ESCENICAS Y MUSICA,440874,4474298,
2021-338,Pública,Hoyo de Manzanares,PLAZA Mayor 7  ,28240,Modulo Portatil-Coche Policia Local AYTO. HOYO MANZANARES,423283,4497284,24 horas
2021-339,Pública,Rivas-Vaciamadrid,AVDA de José Hierro 82  ,28521,EN VEHICULO PATRULLA POLICIA LOCAL AYTO RIVAS VACIAMADRID,454984,4466458,24h/365dias
2021-341,Pública,Rivas-Vaciamadrid,AVDA de José Hierro 82  ,28521,VEHICULO PATRULLA DE LA POLICIA LOCAL V3 MATRÍCULA 7190LBY,454984,4466458,
2019-207,Pública,Alcobendas,CALLE del Pintor Velázquez 0  ,28100,"MUSEO NACIONAL DE CIENCIA Y TECNOLOGÍA VESTÍBULO PRINCIPAL, JUNTO A TORNOS DE ACCESO",445718,4487638,24 H
2018-456,Pública,Leganés,AVDA Universidad 30 BJA ,28911,EDIF 1 AGUSTIN DE BETANCOURT. FR3NTE CONSEJERÍA UNIVERSIDAD CARLOS III DE MADRID,434849,4464869,8-21
2021-934,Pública,Mejorada del Campo,CALLE de Moscú 2  ,28840,AYUNTAMIENTO MEJORADA DEL CAMPO ,459266,4472194,
2021-502,Pública,Villanueva de la Cañada,PLAZA de España 1  ,28691,Edificio Ayuntamiento -Hall Entrada ,414740,4477810,L a V 9:00?14:00
2021-503,Pública,Villanueva de la Cañada,AVDA Mirasierra 4  ,28691,Edificio piscina Cubierta C.Deportivo Santiago Apóstol ,415666,4478665,L a V 9:00?21:30 S y D 10 a 14:00
2021-833,Pública,Fuenlabrada,CALLE Rumanía 2 3 ,28943,JUZGADOS /PLANTA TERCERA ,431892,4459597,
2021-923,Pública,Madrid,CALLE Gran Vía 19 4 ,28013,"EN LA PLANTA 4, JUZGADO Nº 6 ",440543,4474595,
2021-221,Pública,Alcobendas,CALLE de Sepúlveda 3  ,28108,"DENTRO DE LA ESTACIÓN DE METRO LA GRANJA. VESTÍBULO, JUNTO A PAV METRO DE MADRID",444234,4486526,
2021-254,Pública,Madrid,CALLE de Prim 10  ,28004,TALLERES CUARTEL GENERAL DEL EJERCITO DE TIERRA,441197,4474787,
2017-133,Pública,Navalcarnero,AVDA de Doña Mariana de Austria   ,28600,PISCINA CUBIERTA MARTÍN LÓPEZ ZUBERO EN EL HALL DE RECEPCIÓN,413504,4459661,DE 9:00 A 22:00 HORAS
2018-453,Pública,Madrid,RONDA de Toledo 1  ,28005,PTA. TOLEDO. ENTRADA PRINCIPAL COLUMNA FRENTE DESPACHO 0.B.08 UNIVERSIDAD CARLOS III DE MADRID,439709,4473129,8-21
2021-782,Pública,Madrid,PLAZA de Castilla 1 S1 ,28046,SERVICIO MÉDICO DE LA MUTUALIDAD D.G. INFRAESTRUCTURAS JUDICIALES,441487,4479614,
2022-74,Pública,Madrid,CALLE de Montalbán 1  ,28014,"FASE 1, PLANTA 1, ESCALERA L PALACIO DE CIBELES AYTO MADRID, AREA GOBIERNO, CULTURA Y TURISMO",441312,4474480,24H
2022-83,Pública,Madrid,CALLE de Montalbán 1  ,28014,FASE 1 - PLANTA 2 - ESCALERA S PALACIO DE CIBELES,441312,4474480,24H
2021-834,Pública,Fuenlabrada,CALLE Rumanía 2 2 ,28943,JUZGADOS/PLANTA SEGUNDA ,431892,4459597,
2022-140,Pública,Madrid,AVDA del Planetario 16  ,28045,a la derecha de recepción ,441877,4471129,24H
2022-220,Pública,Madrid,CALLE del Arroyo de Pozuelo 99  ,28023,CENTRO DEPORTIVO MUNICIPAL ALFREDO GOYENECHE ,433606,4478227,
2022-287,Pública,Madrid,CALLE del Tranvía de Arganda 4  ,28031,CENTRO DEPORTIVO MUNICIPAL PALOMERAS (PISCINA) ,446125,4470422,
2022-289,Pública,Madrid,PASEO del Polideportivo 3  ,28032,CENTRO DEPORTIVO MUNICIPAL MARGOT MOLES ,448827,4473416,
2022-292,Pública,Madrid,CALLE de la Reguera de Tomateros 39  B,28053,CENTRO DEPORTIVO MUNICIPAL WILFRED AGBONAVBARE CAMPO DE FUTBOL AYUNTAMIENTO DE MADRID,444304,4469287,
2022-293,Pública,Madrid,PLAZA de los Pinazo 9  ,28021,CENTRO DEPORTIVO MUNICIPAL SAN CRISTOBAL CAMPO DE FUTBOL AYUNTAMIENTO DE MADRID,441356,4465990,
2021-458,Pública,Madrid,AVDA de la Hispanidad 0  ,28042,PARQUE PLATAFORMA DE BOMBEROS DEL AEROPUERTO DE MADRID BARAJAS ,449721,4482599,
2021-459,Pública,Madrid,AVDA de la Hispanidad 0  ,28042,PARQUE PLATAFORMA DE BOMBEROS DEL AEROPUERTO DE MADRID BARAJAS ,449721,4482599,
2021-460,Pública,Madrid,AVDA de la Hispanidad 0  ,28042,PARQUE PLATAFORMA II DE BOMBEROS DEL AEROPUERTO DE MADRID BARAJAS ,449721,4482599,
2021-468,Pública,Madrid,AVDA de la Hispanidad 0  ,28042,SOTANO HIPODROMOS T4 2 AEROPUERTO ADOLFO SUAREZ MADRID-BARAJAS,449721,4482599,
2021-512,Pública,Villanueva de la Cañada,CALLE Valle de Esteribar 3  ,28692,Centro Cívico El Castillo -Hall Entrada ,419628,4479854,L A V 9:00?20:30
2021-756,Pública,Madrid,PLAZA de Castilla 1 1 ,28046,EN LA PLANTA 1ª IZQUIERDA D.G. INFRAESTRUCTURAS JUDICIALES,441487,4479614,
2021-767,Pública,Madrid,PLAZA de Castilla 1 8 ,28046,EN LA PLANTA 8 IZQUIERDA D.G. INFRAESTRUCTURAS JUDICIALES,441487,4479614,
2021-691,Pública,Madrid,CALLE del Poeta Joan Maragall 66 S ,28020,EN EL EDIFICO DE ARCHIVO/ PLANTA SEMISÓTANO D.G. INFRAESTRUCTURAS JUDICIALES,441403,4479604,
2022-89,Pública,Madrid,CALLE del Poeta Joan Maragall 66 B ,28020,SEGURIDAD/PLANTA PRINCIPAL D.G. INFRAESTRUCTURAS JUDICIALES,441403,4479604,
2021-721,Pública,Colmenar Viejo,CALLE del Padre Claret 13 B ,28770,BAJA ,434712,4501976,
2022-147,Pública,Alcorcón,CALLE Institutos 4  ,28923,PUERTA ENTRADA HALL ,430350,4465567,
2022-275,Pública,Madrid,CTRA a la Estación de Hortaleza 11  ,28033,CENTRO DEPORTIVO MUNICIPAL HORTALEZA (PISCINA Y BOTIQUIN) ,444689,4481137,
2021-139,Pública,Torrejón de Ardoz,AVIA Nacional II 0  ,28850,EDIFICIO O-03 ENFERMERIA INSTITUTO NACIONAL TECNOLOGÍA AEROESPACIAL,459555,4482942,24h
2021-466,Pública,Madrid,AVDA de la Hispanidad 0  ,28042,PATIO CARRILLOS T4 SUR IZQUIERDA AEROPUERTO ADOLFO SUAREZ MADRID-BARAJAS,449721,4482599,
2017-335,Pública,Torrelodones,CALLE Cudillero 6 BAJA ,28250,VEHÑICULO DE INTERVENCIÓN SANITARIA DE PROTECCIÓN CIVIL AYUNTAMIENTO DE TORRELODONES,421580,4491337,TURNO OPERATIVO
2021-925,Pública,Madrid,CALLE Gran Vía 52 4 ,28013,PLANTA 4 /JUZGADOS DE LO MERCANTIL ,440034,4474734,
2022-20,Pública,Madrid,AVDA de la Hispanidad 0  ,28042,REMOTOS NORTE T2 AEROPUERTO Adolfo Suarez Madrid-Barajas,449721,4482599,
2022-213,Pública,Madrid,AVDA de Pío XII 110  ,28036,UBICACION EN TRENES DE RENFE VIAJEROS. SEDE SOCIAL. ,442489,4480602,24H
2018-2244,Pública,Madrid,AVDA de la Princesa Juana de Austria 1  ,28054,ENTRANDO A LA DERECHA JUNTO A LA MAQUINA DE COCACOLA CREMATORIO SUR - CEMENTERIO SUR,437246,4457597,24 H
2022-297,Pública,Madrid,CALLE de Los Brezos 6  ,28042,CENTRO DEPORTIVO MUNICIPAL PABELLÓN VILLA DE MADRID ,450044,4479113,
2022-298,Pública,Madrid,CMNO del Príncipe 2  ,28011,CENTRO DEPORTIVO MUNICIPAL TENIS CASA DE CAMPO AYUNTAMIENTO DE MADRID,437648,4474792,
2022-299,Pública,Madrid,AVDA de Monforte de Lemos 13  ,28029,CENTRO DEPORTIVO MUNICIPAL VICENTE DEL BOSQUE V AYUNTAMIENTO DE MADRID,441219,4481136,
2021-97,Pública,Móstoles,CALLE Fragua 13  ,28933,EN VEHÍCULO POLICÍA MNICIPAL SKODA LAROQ 7269-LLZ AYTO. MÓSTOLES,426894,4466059,
