codigo_dea,tipo_titularidad,municipio_nombre,direccion_establecimiento,direccion_codigo_postal,direccion_ubicacion,direccion_coordenada_x,direccion_coordenada_y,horario_acceso
2020-400,Pública,Madrid,CALLE de Mauricio Legendre 42  ,28046,AUTOBUS 28 DISPOSITIVO MOVIL,442158,4481299,05:00-00:30
2020-402,Pública,Madrid,CALLE de Mauricio Legendre 42  ,28046,AUTOBUS 29 DISPOSITIVO MOVIL,442158,4481299,05:00-00:30
2020-423,Pública,Madrid,CALLE de Mauricio Legendre 42  ,28046,AUTOBUS 122 E.M.T.,442158,4481299,
2020-445,Pública,Madrid,CALLE de Mauricio Legendre 42  ,28046,AUTOBUS 139 E.M.T.,442158,4481299,
2019-2879,Pública,Madrid,CALLE Estación Cercanías San Cristobal Industrial 0  ,28021,,440651,4464830,
2018-3139,Pública,Fuenlabrada,CALLE Francia 34  ,28943,DENTRO DE LA ESTACIÓN PARQUE EUROPA EN EL VESTIBULO,431492,4459719,
2020-502,Pública,Madrid,CALLE de Mauricio Legendre 42  ,28046,AUTOBUS 172 E.M.T.,442158,4481299,DE 5 A 0.30
2020-503,Pública,Madrid,CALLE de Mauricio Legendre 42  ,28046,AUTOBUS 171 E.M.T.,442158,4481299,DE 5 A 0.30
2020-523,Pública,Madrid,CALLE de Mauricio Legendre 42  ,28046,AUTOBUS 152 E.M.T.,442158,4481299,DE 5 A 0.30
2020-697,Pública,Torrejón de Ardoz,AVDA Constitución 83  ,28850,CAID AYUNTAMIENTO DE TORREJÓN DE ARDOZ,459748,4478618,
2020-388,Pública,Madrid,CALLE de Mauricio Legendre 42  ,28046,AUTOBUS 50 E.M.T.,442158,4481299,
2020-420,Pública,Madrid,CALLE de Mauricio Legendre 42  ,28046,AUTOBUS 40 DISPOSITIVO MOVIL,442158,4481299,05:00-00:30
2020-421,Pública,Madrid,CALLE de Mauricio Legendre 42  ,28046,AUTOBUS 41 DISPOSITIVO MOVIL,442158,4481299,05:00-00:30
2020-533,Pública,Madrid,CALLE de Mauricio Legendre 42  ,28046,AUTOBUS 142 E.M.T.,442158,4481299,DE 5 A 0.30
